epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,7332.03,1.05296,0.70588,1.19853,0.82387,0.67028,0.78524,0.479,1.04264,1.35581,1.07119,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,7453.5,1.04955,0.69884,1.19544,0.74034,0.70279,0.75769,0.44744,1.14485,2.17983,1.16436,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,7574.99,1.02869,0.68619,1.18638,0.88064,0.68731,0.81419,0.49799,1.03613,1.4704,1.06465,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,7696.81,1.02204,0.67645,1.18259,0.58291,0.56465,0.54366,0.28592,1.544,2.30588,1.68884,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,7818.29,1.01295,0.67171,1.17263,0.80436,0.70007,0.77199,0.44793,1.12116,2.01205,1.14986,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,7939.78,1.01143,0.67632,1.17039,0.7661,0.6935,0.73796,0.43485,1.14237,4.26828,1.18256,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,8061.32,1.00214,0.65968,1.169,0.75861,0.70433,0.77229,0.46353,1.08645,1.42482,1.12827,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,8182.9,0.99599,0.6511,1.15542,0.76773,0.66003,0.73703,0.44068,1.13345,1.54239,1.16849,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,8304.49,1.00195,0.66205,1.16357,0.80806,0.69969,0.79442,0.4749,1.09398,1.53865,1.13384,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,8425.78,0.98614,0.65221,1.15333,0.72698,0.66099,0.69464,0.37691,1.26262,1.92516,1.30752,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,8547.12,0.96985,0.63649,1.14343,0.77161,0.74149,0.79754,0.45584,1.12771,2.2044,1.15169,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
