epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,8056.12,1.39901,1.11291,1.45311,0.83808,0.70509,0.80196,0.56379,0.81314,1.42606,0.91025,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,8157.17,1.37065,1.09677,1.42867,0.84373,0.71207,0.78956,0.54632,0.85651,1.54783,0.92928,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,8258.36,1.37634,1.09811,1.43549,0.86236,0.68885,0.79206,0.55785,0.81286,2.00507,0.90682,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,8359.59,1.38766,1.08251,1.43205,0.88567,0.66563,0.78617,0.54727,0.83505,1.13339,0.91764,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,8460.6,1.37288,1.07536,1.41812,0.86711,0.68682,0.8042,0.56737,0.80565,1.1769,0.89468,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,8561.71,1.34802,1.05831,1.41314,0.84511,0.69257,0.79993,0.56342,0.82105,1.24665,0.91387,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,8663.08,1.33076,1.06541,1.40314,0.90019,0.68413,0.80152,0.56411,0.82459,1.56206,0.91087,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,8764.28,1.35114,1.06624,1.41534,0.83405,0.708,0.80987,0.55187,0.874,1.62322,0.92935,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,8865.45,1.34236,1.03049,1.40723,0.86356,0.68576,0.799,0.54927,0.8586,1.42834,0.92541,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,8966.77,1.33102,1.03115,1.40485,0.88511,0.66099,0.77934,0.54047,0.85585,1.30846,0.92488,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,9068.31,1.3417,1.04414,1.41202,0.86409,0.69969,0.80794,0.55429,0.86471,1.60144,0.93631,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,9169.61,1.33805,1.02496,1.40983,0.86637,0.66099,0.77586,0.54049,0.84357,1.58277,0.92362,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,9270.75,1.32169,1.02623,1.38931,0.85123,0.74613,0.84012,0.594,0.81943,1.44146,0.90647,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,9372.18,1.3321,1.01439,1.40236,0.88022,0.70279,0.82386,0.56228,0.869,1.01419,0.92757,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,9473.63,1.32465,1.01026,1.39703,0.84648,0.69135,0.79458,0.52534,0.91603,1.53801,0.94602,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,9574.99,1.31587,0.99866,1.38701,0.82716,0.70124,0.80565,0.55142,0.86896,1.10419,0.93203,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,9676.19,1.31845,0.98876,1.39414,0.86042,0.68703,0.78932,0.52412,0.91104,1.09688,0.95498,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,9777.61,1.30635,1.00418,1.37719,0.86768,0.68885,0.8106,0.56263,0.83527,1.43149,0.91046,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
